Periods,Solar PV
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,30.299616408254327
9,138.06017006437153
10,354.13746905651743
11,594.3859133478712
12,671.5558827300026
13,767.445609178323
14,732.2971171453297
15,697.2594038899546
16,663.9437370409337
17,505.2627568239728
18,286.8359300773395
19,89.67156242242379
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,28.502276434209442
33,223.9177319994978
34,436.98205845147555
35,618.0436458190366
36,744.5207630728701
37,826.1612448521736
38,827.8238955436543
39,783.6757021291788
40,680.2559459161076
41,515.3549142345335
42,307.7115506180028
43,83.35289446081657
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,28.473444712889687
57,229.74546096049517
58,443.4312414669888
59,625.1442065761278
60,737.3381425606076
61,811.6926144861189
62,836.0582133810447
63,778.2536881391347
64,667.2598256874834
65,505.1387921091318
66,295.9664103458998
67,90.3399573850093
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,27.42288164120372
81,228.1380817382853
82,444.0831771146859
83,622.0627088460112
84,752.2350604561432
85,818.7442110401194
86,831.5456437326931
87,782.3851675952922
88,659.9057730841758
89,515.5475422312154
90,138.60667427752267
91,95.24974767815809
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,27.389122049148195
105,220.11146470251055
106,422.59234021148666
107,603.2507145329821
108,740.2597031866491
109,808.2499637522882
110,800.7969383326127
111,270.27394911517257
112,584.7870238329109
113,484.4877792614275
114,316.6307604800535
115,101.04567738208398
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,22.47606571518375
129,162.22211861290452
130,440.9849405478884
131,351.53616348066873
132,745.60424702717
133,812.9515225645923
134,824.9621284045897
135,779.0446894123079
136,682.5423945883848
137,518.862308331153
138,312.0833749889472
139,102.33517408338315
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,23.368203630303327
153,208.86807692386978
154,417.11629722054465
155,591.6810397547979
156,697.1633993259952
157,747.5625519399289
158,600.180385192852
159,782.6503960109916
160,690.8070252323408
161,525.2234177270474
162,319.05443734845727
163,96.99973320760648
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,3.054438697839479
177,24.25261096588094
178,58.08234662397065
179,418.8147943127836
180,667.3923471129859
181,809.4121452116538
182,831.820761014498
183,800.6367236025786
184,694.0687697873108
185,527.0769363794917
