Periods,Solar PV
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,156.5783067721857
10,374.6048795856872
11,568.3839122121551
12,711.0031878195275
13,798.1036349799786
14,824.8895961550227
15,802.6884730407921
16,708.6718256560554
17,564.8691742525232
18,369.9076050170826
19,155.9653477542723
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,152.58473699996412
34,367.9189266755566
35,558.4280442161892
36,697.633829096491
37,792.307256842429
38,818.6988513870948
39,783.5491527181814
40,694.42702127588
41,566.7623337522565
42,372.3432019747221
43,155.75479170755966
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,149.5586160145402
58,356.10086758926093
59,545.4293375707766
60,694.0000660396264
61,792.2822645839037
62,815.7790275078935
63,785.1984553701748
64,698.419569776333
65,560.363911712718
66,379.6930476463095
67,157.92537608873707
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,45.200215696928595
82,338.6347945272146
83,448.22522112316113
84,694.9611762028386
85,773.7292344843738
86,582.5300753642573
87,774.3600034617863
88,676.2154046830433
89,555.728507810826
90,378.5849725020297
91,161.0136108736538
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,139.39772701428203
106,342.75927753279774
107,532.1042525227622
108,689.7972803859703
109,782.1591145313172
110,817.1107340171815
111,789.8336155420203
112,706.9123063638983
113,564.1881550095679
114,377.1449607153055
115,161.09106349949022
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,115.6533475941555
130,336.5609651965418
131,541.6991383546082
132,690.6571733198673
133,780.2435540178103
134,785.8604966785225
135,749.8910365497785
136,707.9504426702626
137,574.8580973508658
138,374.08133531802173
139,160.8527637990104
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,135.1068072666671
154,346.7147077131674
155,543.5230282530612
156,688.3002133757692
157,779.2081176672766
158,809.127358025994
159,800.3788087759217
160,722.4807404970619
161,476.47708544326423
162,392.89720941895797
163,169.43051578685188
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,33.25759086903479
178,74.91671693424792
179,267.81777360689057
180,685.3718224902394
181,775.7757571345405
182,809.0429265088475
183,691.7872500223384
184,647.1822150238619
185,553.1153563325843
186,376.53625072628057
187,163.20735137371923
188,0.0
189,0.0
