Periods,Solar PV
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,28.119226422389886
9,225.97746867878396
10,442.1758843722461
11,626.3921649678266
12,745.489028749957
13,794.1345100184885
14,817.0235734248431
15,768.2742929665839
16,659.0572322799497
17,505.2235867134426
18,304.55054613320596
19,94.05723946933443
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,825.2935801130169
39,0.0
40,664.9734933865805
41,0.0
42,304.9509742708386
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,17.183147757496236
57,0.0
58,80.41070208867666
59,0.0
60,717.3524862674597
61,0.0
62,817.2965895671182
63,0.0
64,629.1413885973207
65,0.0
66,191.01444176671203
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,8.080289647642788
81,0.0
82,121.09740164941675
83,0.0
84,120.88204634323249
85,0.0
86,188.64416757421768
87,0.0
88,599.2049641728232
89,0.0
90,305.1357346168775
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,25.245570761218957
105,0.0
106,352.11154530994065
107,0.0
108,726.1876594745501
109,0.0
110,762.1908521646868
111,0.0
112,390.1957038972514
113,0.0
114,272.25941850672524
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,23.169433918908872
129,0.0
130,424.5429513346271
131,0.0
132,738.6749992338908
133,0.0
134,798.1146814366158
135,0.0
136,635.322808208639
137,0.0
138,307.607673177734
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,19.133974886674512
153,0.0
154,392.4968666989756
155,0.0
156,728.3532822951935
157,0.0
158,289.8044728815107
159,0.0
160,444.86766042326656
161,0.0
162,234.08894376626412
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,23.200729575596508
177,0.0
178,425.37234922877343
179,0.0
180,709.6389354250846
181,0.0
182,807.9503901860234
183,0.0
184,668.8984556186685
185,0.0
186,209.63696263911626
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,23.325912202347062
201,0.0
202,283.14281931622537
203,0.0
204,697.0992359306041
205,0.0
206,784.8496035065634
207,0.0
208,659.1545436607126
209,0.0
