Periods,Solar PV
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,29.87429933369157
9,226.1938462618594
10,440.92647389398417
11,619.8108206798195
12,734.0833826967464
13,789.2143137607252
14,689.3986745484642
15,722.9823983809304
16,591.3078519470355
17,196.4289494572828
18,56.44850004897842
19,33.27748344673028
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,26.95183935164061
33,229.34888189693226
34,436.4823796393609
35,612.8384523431241
36,736.6520009548117
37,801.919040517429
38,804.5258624049585
39,756.9398201391377
40,567.5257093451862
41,433.33994613731863
42,235.913260634173
43,49.107052555411244
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,27.966393410730056
57,225.2454600894388
58,438.6387103996982
59,616.6749811838512
60,738.6916084293033
61,802.164914914898
62,805.9835684944154
63,752.0548194180535
64,554.3449849815734
65,480.5355521674967
66,266.0003663070632
67,62.634052373005346
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,20.954821096912585
81,117.063608340839
82,443.9049981575647
83,603.6906598092413
84,732.560249214134
85,799.6234536070348
86,804.0440666198574
87,754.5116490554246
88,646.5689432693194
89,492.1470656632119
90,296.5607345205471
91,90.55750881472116
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,26.98591864167609
105,222.39466396929217
106,432.56010197875736
107,611.4400961018715
108,729.848596433718
109,801.4889958582987
110,812.7770556221915
111,763.2085830956376
112,544.8938216543462
113,492.61714959609907
114,302.373400191709
115,93.06502043730781
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,25.011281799663006
129,222.46451122424938
130,432.52564905839876
131,613.0312121932112
132,734.9440363275689
133,800.8066290088744
134,804.7063215608532
135,752.217599886543
136,644.9427986911854
137,499.33258779714953
138,299.7702536470998
139,96.10669953632019
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,26.017719558266176
153,219.3437548709824
154,430.2483836647303
155,607.1540383368912
156,729.0287102494093
157,796.477689491893
158,805.4886829385382
159,758.5518093406239
160,552.6859147959982
161,481.31489007294596
162,303.4549499524958
163,96.28570794575262
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,24.016154618485213
177,212.34390176090736
178,425.98050082837244
179,610.2757337036875
180,735.8372423272759
181,806.0045705575546
182,816.4935717851315
183,764.873306460885
184,651.9430517243296
185,503.4770398096609
