Periods,Solar PV
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,21.335577383028426
9,57.73935079000999
10,268.03224263742476
11,592.9822053028388
12,724.274149818425
13,799.9242680307304
14,812.9867887240799
15,767.9582629836094
16,662.2742453574809
17,488.6466134393386
18,272.48700531919525
19,90.18847408281549
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,29.637198402195686
33,52.75965062753677
34,404.1143283324024
35,615.7661315321234
36,739.166367788729
37,813.1535396185162
38,764.2797226323507
39,768.0969638418329
40,620.002896973656
41,463.63526408706656
42,301.7018484553251
43,83.1736023760393
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,29.536094187517815
57,235.26069231426808
58,285.6000819790865
59,611.8947383855556
60,742.3181203778528
61,790.770419205817
62,823.0571701835394
63,766.3719067762866
64,664.9731566644056
65,509.59678109586775
66,175.69335312857993
67,43.1062605851535
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,28.61467422970487
81,191.5377973267762
82,411.84269597964544
83,607.0766142433246
84,743.2333540318373
85,811.8209564769813
86,809.6391212697578
87,631.8715404355115
88,100.68691064527275
89,272.6838974220594
90,174.03734624920168
91,76.1459382963816
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,27.679207456278796
105,234.02160404668035
106,446.45651107187894
107,624.2436294636161
108,751.3577265585964
109,820.1849427940177
110,828.5171391754201
111,775.3002573558826
112,670.948351748318
113,512.5584137247372
114,305.6792298555857
115,98.07809372146276
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,27.580558994554305
129,226.76417881778693
130,439.1840770572986
131,616.7955971620256
132,746.7562607408337
133,802.7000873726679
134,821.8853895510276
135,769.6077705415469
136,670.9833358692302
137,512.5462465242998
138,309.15077252564583
139,94.92592583038972
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,26.49993282156317
153,224.1324016849083
154,436.58611752123284
155,615.5627620756748
156,749.7486220067606
157,823.9128922117394
158,834.5740475091023
159,779.5858755301887
160,680.5939544061155
161,519.7898334321864
162,310.6656335124278
163,93.26779700032412
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,22.565761954229796
177,214.73032597311723
178,401.67553358510577
179,590.4559965358311
180,727.6951945718678
181,815.8507198267341
182,826.4808847118541
183,777.7856792361539
184,674.8195542726473
185,517.3212521205558
