Periods,Solar PV
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,158.98806383138142
10,369.24986453808384
11,569.1818860941988
12,704.937659535967
13,791.691847797486
14,819.499101028907
15,790.9384157947271
16,702.3161635596052
17,560.4774141481427
18,368.9036233247614
19,156.37786573458203
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,154.01453572488603
34,365.56211692923785
35,559.7604027897153
36,699.550863810437
37,792.1319427971239
38,820.1537572587381
39,794.7001291078462
40,708.1594700344168
41,566.5008673471096
42,371.31175476958435
43,158.17746079286283
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,148.21948590030092
58,354.67247119855307
59,546.9239216444854
60,697.2889847920197
61,786.8067101929993
62,820.9778842854756
63,796.6440676364232
64,703.6806819384008
65,565.7309210628565
66,373.4424330715036
67,160.5490215043441
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,76.21532908448894
82,263.5480648549482
83,549.5090755166316
84,696.7287880202759
85,783.9072325373804
86,760.82368634472
87,769.3379772243401
88,218.81523610016296
89,565.0894200612096
90,377.4350838755991
91,163.74491635673232
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,137.05556589611845
106,341.0308824885062
107,544.8815963535108
108,692.4456505223849
109,773.2637449884995
110,791.860645727131
111,715.1165248379226
112,675.0714585487134
113,571.1536896019287
114,380.0891013616545
115,163.46582320218658
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,65.61204414665278
130,247.73048152401617
131,542.7459578831241
132,686.9073850719641
133,787.4343637314969
134,686.2543575951498
135,472.6842769840279
136,672.0705869446806
137,563.0511013186957
138,372.5594182504249
139,163.27857357197823
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,140.23925028360287
154,346.2123823856514
155,544.4989830509788
156,690.8897953050963
157,717.8513898593342
158,779.6786089165173
159,745.8637026870633
160,709.3566227146981
161,565.010514243234
162,399.67574260288694
163,165.86017979957964
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,92.67355591084277
178,90.71590705968985
179,202.61460493898613
180,628.4843232311462
181,747.27443125183
182,737.0048482772037
183,674.7481006593506
184,717.0838117893804
185,555.9247580806807
186,379.3153224954506
187,167.60505721907967
188,0.0
189,0.0
