Periods,Solar PV
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,25.518343272355526
9,201.325535263875
10,447.2208853080487
11,620.092640602972
12,735.3639006386852
13,821.8874846601867
14,766.9485100177723
15,498.738690234189
16,495.90023374282333
17,489.9708437489615
18,302.0381823258342
19,61.89459457876577
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,33.02427223261019
33,243.16782194609345
34,458.34203485533794
35,638.0006004258972
36,757.5669027094867
37,803.2781164481901
38,811.640100578961
39,773.1495373731773
40,672.1511840062966
41,518.5340401791725
42,231.63648909201055
43,88.88567919499796
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,32.840198440170084
57,242.92774693452563
58,426.79590633666845
59,628.179166168226
60,732.1570447649871
61,820.6999527196961
62,777.2876010504169
63,767.6216347458025
64,658.9869903294739
65,498.63767925920416
66,163.09256824673517
67,12.057582478684981
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,30.7425592660957
81,231.56900236897258
82,446.72326179021803
83,626.3642506479927
84,747.6544985096252
85,807.347939328439
86,773.8352976500412
87,746.0114415600028
88,679.8576719844937
89,525.367143933071
90,312.8037131812974
91,95.7098733450231
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,30.79635242640635
105,229.3161886940812
106,427.40428148328925
107,602.9978972001848
108,646.8119796590709
109,616.5155050399485
110,812.2213539235211
111,770.1465037012205
112,251.14325498998878
113,254.00244558341583
114,147.21080804481647
115,89.62135016900156
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,29.769863340430618
129,234.1159594962711
130,450.2389579368485
131,597.3426774311646
132,738.9639469654649
133,751.7554982427139
134,792.3084628106826
135,361.3675269838625
136,616.9798927098898
137,438.1226592718105
138,305.6537510375143
139,98.98828870009453
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,27.710135182823706
153,238.57316744709277
154,456.40841460032163
155,637.2869632109984
156,763.10782217746
157,827.4087493928433
158,132.21703800032887
159,776.4347365903063
160,626.9662636935059
161,503.81513738259105
162,32.6131798324455
163,98.74875550477603
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,26.640174186867313
177,191.142725111085
178,445.65648676874537
179,630.0746656518298
180,748.6969594060876
181,823.721263638114
182,839.4612572571014
183,670.7763551515501
184,230.43533821099282
185,530.2389053246658
